Nombre,Enlace,Categoria,CantidadArticulos
Journal of Business Ethics,https://www.springer.com/journal/10551,Q1,1176
Journal of Second Language Writing,https://www.journals.elsevier.com/journal-of-second-language-writing,Q1,81
Social Science and Medicine,https://www.journals.elsevier.com/social-science-and-medicine,Q1,1594
Decision Support Systems,https://www.journals.elsevier.com/decision-support-systems,Q1,338
Nous-Supplement: Philosophical Issues,https://onlinelibrary.wiley.com/journal/17582237,Q1,63
Evolution and Human Behavior,https://www.journals.elsevier.com/evolution-and-human-behavior,Q1,226
Business Ethics Quarterly,https://www.cambridge.org/core/journals/business-ethics-quarterly,Q1,68
Social Studies of Science,https://journals.sagepub.com/home/sss,Q1,126
Journal of Economic History,https://www.cambridge.org/core/journals/journal-of-economic-history,Q1,104
Language Teaching,https://www.cambridge.org/core/journals/language-teaching,Q1,96
Computer Assisted Language Learning,https://www.tandfonline.com/toc/ncal20/current,Q1,160
Cultural Anthropology,https://journal.culanth.org/index.php/ca,Q1,104
Journal of Experimental Psychology: Human Perception and Performance,https://www.apa.org/pubs/journals/xhp/,Q1,462
CALICO Journal,https://journals.equinoxpub.com/index.php/CALICO/index,Q1,66
Journal of Literacy Research,https://journals.sagepub.com/home/jlr,Q1,78
Journal of Philosophical Logic,https://www.springer.com/journal/10992,Q1,97
Journal of Sex Research,https://www.tandfonline.com/loi/hjsr20,Q1,296
Social Forces,https://academic.oup.com/sf,Q1,197
Psychology of Women Quarterly,https://journals.sagepub.com/home/pwq,Q1,104
Science Technology and Human Values,https://journals.sagepub.com/home/sth,Q1,136
Annals of the New York Academy of Sciences,https://nyaspubs.onlinelibrary.wiley.com/journal/17496632,Q1,811
TESOL Quarterly,https://onlinelibrary.wiley.com/journal/15457249,Q1,155
Explorations in Economic History,https://www.sciencedirect.com/journal/explorations-in-economic-history,Q1,84
Journal of Agrarian Change,https://onlinelibrary.wiley.com/journal/14710366,Q1,125
Political Geography,https://www.journals.elsevier.com/political-geography,Q1,279
Philosophy and Phenomenological Research,https://onlinelibrary.wiley.com/journal/19331592,Q1,260
Journal of Marriage and Family,https://onlinelibrary.wiley.com/journal/17413737,Q1,257
The Journal of Philosophy,https://www.journalofphilosophy.org/,Q1,83
Journal of English for Academic Purposes,https://www.journals.elsevier.com/journal-of-english-for-academic-purposes,Q1,136
Intelligence,https://www.journals.elsevier.com/intelligence,Q1,246
Journalism,https://journals.sagepub.com/home/jou,Q1,316
State Politics and Policy Quarterly,https://journals.sagepub.com/home/spa,Q1,55
British Journal for the Philosophy of Science,https://academic.oup.com/bjps,Q1,116
European Child and Adolescent Psychiatry,https://www.springer.com/journal/787,Q1,438
Law and Human Behavior,http://www.springer.com/psychology/psychology+%26+law/journal/10979,Q1,145
Australasian Journal of Philosophy,https://www.tandfonline.com/loi/rajp20,Q1,159
Cognition and Emotion,https://www.tandfonline.com/toc/pcem20/current,Q1,426
"Language, Cognition and Neuroscience",https://www.tandfonline.com/action/journalInformation?journalCode=plcp21,Q1,313
Emotion Review,https://journals.sagepub.com/home/emr,Q1,159
Group and Organization Management,https://journals.sagepub.com/home/gom,Q1,90
Philosophical Studies,https://www.springer.com/journal/11098,Q1,546
Theory and Society,https://www.springer.com/journal/11186,Q1,69
Philosophers Imprint,https://www.philosophersimprint.org/,Q1,68
Group Processes and Intergroup Relations,https://journals.sagepub.com/home/gpi,Q1,175
Journal of Ethnic and Migration Studies,https://www.tandfonline.com/toc/cjms20/current,Q1,518
System,https://www.journals.elsevier.com/system,Q1,271
Memory and Cognition,https://www.springer.com/journal/13421,Q1,308
Applied Psychology,https://iaap-journals.onlinelibrary.wiley.com/journal/14640597,Q1,85
Bilingualism,https://www.cambridge.org/core/journals/bilingualism-language-and-cognition,Q1,300
Language Testing,http://ltj.sagepub.com/,Q1,79
British Journal of Criminology,http://bjc.oxfordjournals.org/,Q1,198
Teachers and Teaching: Theory and Practice,https://www.tandfonline.com/loi/ctat20,Q1,195
Linguistic Inquiry,https://www.mitpressjournals.org/loi/ling,Q1,88
Journal of Sociolinguistics,https://onlinelibrary.wiley.com/journal/14679841,Q1,83
Sociology of Religion,http://socrel.oxfordjournals.org/,Q1,58
"Psychology of Aesthetics, Creativity, and the Arts",https://www.apa.org/pubs/journals/aca/,Q1,173
Criminology and Public Policy,https://onlinelibrary.wiley.com/journal/17459133,Q1,227
Brain and Language,https://www.journals.elsevier.com/brain-and-language,Q1,239
Assessing Writing,https://www.journals.elsevier.com/assessing-writing,Q1,70
Studies in Second Language Learning and Teaching,https://pressto.amu.edu.pl/index.php/ssllt/index,Q1,97
English for Specific Purposes,https://www.journals.elsevier.com/english-for-specific-purposes,Q1,79
European Journal of Communication,https://journals.sagepub.com/home/ejc,Q1,104
Critical Military Studies,https://www.tandfonline.com/toc/rcms20/current,Q1,73
Philosophy and Public Affairs,https://onlinelibrary.wiley.com/journal/10884963,Q1,41
Archives of Sexual Behavior,https://www.springer.com/journal/10508,Q1,685
"Attention, Perception & Psychophysics",https://www.springer.com/journal/13414,Q1,568
Natural Language and Linguistic Theory,https://www.springer.com/journal/11049,Q1,106
Boreas,https://onlinelibrary.wiley.com/journal/15023885,Q1,193
Journal of Behavioral Decision Making,http://www3.interscience.wiley.com/journal/4637/home,Q1,188
Episteme,https://www.cambridge.org/core/journals/episteme,Q1,109
Journal of Archaeological Science,https://www.journals.elsevier.com/journal-of-archaeological-science/,Q1,396
International Journal of Multilingualism,https://www.tandfonline.com/loi/rmjm20,Q1,101
Aggressive Behavior,https://onlinelibrary.wiley.com/journal/10982337,Q1,163
European Review of Economic History,https://academic.oup.com/ereh,Q1,49
Linguistics and Philosophy,https://www.springer.com/journal/10988,Q1,54
Qualitative Research,http://qrj.sagepub.com/,Q1,137
Studia Historica Slovenica,http://shs.zgodovinsko-drustvo-kovacic.si/,Q1,97
Review of Symbolic Logic,https://www.cambridge.org/core/journals/review-of-symbolic-logic,Q1,105
Syntax,https://onlinelibrary.wiley.com/journal/14679612,Q1,39
Artificial Intelligence,https://www.journals.elsevier.com/artificial-intelligence/,Q1,231
Convergence,https://journals.sagepub.com/home/con,Q1,135
Brain and Cognition,https://www.sciencedirect.com/journal/brain-and-cognition,Q1,289
Feminist Media Studies,https://www.tandfonline.com/toc/rfms20/current,Q1,280
Artificial Intelligence Review,https://www.springer.com/journal/10462,Q1,120
American Antiquity,https://www.cambridge.org/core/journals/american-antiquity,Q1,131
European Psychologist,http://www.europeanpsychologist.eu/,Q1,75
Journal of Archaeological Method and Theory,https://www.springer.com/journal/10816,Q1,135
Journal of Personality Assessment,https://www.tandfonline.com/loi/hjpa20,Q1,214
Journal of Consumer Culture,https://journals.sagepub.com/home/joc,Q1,154
Journal of World Prehistory,https://www.springer.com/journal/10963,Q1,34
Journal of Phonetics,https://www.journals.elsevier.com/journal-of-phonetics,Q1,158
"Crime, Media, Culture",https://journals.sagepub.com/home/cmc,Q1,70
Language Learning and Development,https://www.tandfonline.com/loi/hlld20,Q1,74
Journal of Behavior Therapy and Experimental Psychiatry,https://www.journals.elsevier.com/journal-of-behavior-therapy-and-experimental-psychiatry,Q1,276
Kyklos,https://onlinelibrary.wiley.com/journal/14676435,Q1,70
Journal of Child Language,https://www.cambridge.org/core/journals/journal-of-child-language,Q1,193
Mind and Language,https://onlinelibrary.wiley.com/journal/14680017,Q1,85
Psychological Research,https://www.springer.com/journal/426,Q1,318
Nous-Supplement: Philosophical Perspectives,https://onlinelibrary.wiley.com/journal/15208583,Q1,45
Annual Review of Linguistics,https://www.annualreviews.org/journal/linguistics,Q1,60
Poetics,https://www.sciencedirect.com/journal/poetics,Q1,110
Natural Language Semantics,https://www.springer.com/journal/11050,Q1,30
Signs and Society,https://www.journals.uchicago.edu/toc/sas/current,Q1,63
Journal of Quaternary Science,https://onlinelibrary.wiley.com/journal/10991417,Q1,233
Journal of Anthropological Archaeology,https://www.journals.elsevier.com/journal-of-anthropological-archaeology,Q1,170
Engineering Studies,https://www.tandfonline.com/toc/test20/current,Q1,32
Journal of Archaeological Research,http://www.springer.com/journal/10814/about,Q1,30
Eye,https://www.nature.com/eye/,Q1,927
Public Understanding of Science,https://journals.sagepub.com/home/pusa,Q1,203
Memory,https://www.tandfonline.com/toc/pmem20/current,Q1,393
Cognitive Neuropsychology,https://www.tandfonline.com/toc/pcgn20/current,Q1,103
Neural Computation,https://www.mitpressjournals.org/loi/neco,Q1,314
Feminist Economics,http://www.feministeconomics.org/,Q1,100
Social Psychology,https://us.hogrefe.com/products/journals/social-psychology,Q1,97
Journal of Semantics,https://academic.oup.com/jos,Q1,48
"Psychology and Psychotherapy: Theory, Research and Practice",https://onlinelibrary.wiley.com/journal/20448341,Q1,112
Radiocarbon,https://www.cambridge.org/core/journals/radiocarbon,Q1,356
Journal of Island and Coastal Archaeology,http://www.informaworld.com/smpp/title~content=t716100767~db=all,Q1,89
Philosophical Topics,https://www.scimagojr.com/journalsearch.php?q=21100286342&tip=sid&clean=0,Q1,58
History and Anthropology,http://www.informaworld.com/smpp/title~content=t713642993~db=all,Q1,119
Vegetation History and Archaeobotany,https://www.springer.com/journal/334,Q1,147
Design Studies,https://www.journals.elsevier.com/design-studies,Q1,149
Holocene,http://hol.sagepub.com/,Q1,466
Thinking and Reasoning,https://www.tandfonline.com/toc/ptar20/current,Q1,65
Written Communication,https://journals.sagepub.com/home/wcx,Q1,50
Consciousness and Cognition,http://www.elsevier.com/wps/find/journaldescription.cws_home/622810/description#description,Q1,509
Pacific Philosophical Quarterly,https://onlinelibrary.wiley.com/journal/14680114,Q1,147
Applied Psycholinguistics,https://www.cambridge.org/core/journals/applied-psycholinguistics,Q1,168
International Migration Review,https://journals.sagepub.com/home/mrxa,Q1,133
ReCALL,https://www.cambridge.org/core/journals/recall,Q1,58
Philosophy of Science,https://journal.philsci.org/,Q1,222
"Anxiety, Stress and Coping",http://www.informaworld.com/smpp/title~content=t713454398~db=all,Q1,152
Studies in American Political Development,http://journals.cambridge.org/action/displayJournal?jid=SAP,Q1,35
Studies in History and Philosophy of Science Part B Studies in History and Philosophy of Modern Physics,https://www.journals.elsevier.com/studies-in-history-and-philosophy-of-science-part-b-studies-in-history-and-philosophy-of-modern-physics,Q1,93
Dementia,http://dem.sagepub.com/,Q1,348
Journal of Clinical Psychology,http://www3.interscience.wiley.com/journal/31171/home,Q1,384
Language in Society,https://www.cambridge.org/core/journals/language-in-society,Q1,88
Journal of East Asian Linguistics,https://www.springer.com/journal/10831/,Q1,39
"Gender, Place, and Culture",https://www.tandfonline.com/toc/cgpc20/current,Q1,352
Behavior Modification,http://bmo.sagepub.com/,Q1,119
Journal of Symbolic Logic,http://www.aslonline.org/journals-journal.html,Q1,244
Research in the Teaching of English,https://www2.ncte.org/resources/journals/research-in-the-teaching-of-english/,Q1,70
Philosophy & Technology,https://www.springer.com/journal/13347/,Q1,94
Current Issues in Language Planning,http://www.informaworld.com/smpp/title~content=t794297782~db=all,Q1,73
Physiology and Behavior,http://www.elsevier.com/wps/find/journaldescription.cws_home/525487/description#description,Q1,1231
Discourse Processes,http://www.informaworld.com/smpp/title~content=t775653637~db=all,Q1,127
Journal of Eastern African Studies,https://www.tandfonline.com/toc/rjea20/current,Q1,119
Quaternary Research,http://www.elsevier.com/wps/find/journaldescription.cws_home/622937/description#description,Q1,232
International Journal of Audiology,http://www.internationaljournalofaudiology.com/,Q1,440
European Accounting Review,https://www.tandfonline.com/loi/rear20,Q1,104
Journal of the American Psychoanalytic Association,http://apa.sagepub.com/,Q1,161
Psychology of Music,http://pom.sagepub.com/,Q1,234
"International Theory: A Journal of International Politics, Law and Philosophy",https://www.cambridge.org/core/journals/international-theory,Q1,45
Language and Education,https://www.tandfonline.com/loi/rlae20,Q1,101
Acta Psychologica,http://www.elsevier.com/wps/find/journaldescription.cws_home/505579/description#description,Q1,419
Current Anthropology,http://www.journals.uchicago.edu/toc/ca/current,Q1,231
Philosophy Compass,https://www.scimagojr.com/journalsearch.php?q=11600153483&tip=sid&clean=0,Q1,217
Creativity Research Journal,https://www.tandfonline.com/loi/hcrj20,Q1,160
Journal of Global History,http://journals.cambridge.org/action/displayJournal?jid=JGH,Q1,67
Canadian Journal of Philosophy,https://www.cambridge.org/core/journals/canadian-journal-of-philosophy,Q1,129
Philosophical Quarterly,https://academic.oup.com/pq,Q1,91
Journal of Language and Politics,https://benjamins.com/catalog/jlp,Q1,113
American Journal of Orthopsychiatry,http://www.wiley.com/bw/journal.asp?ref=0002-9432&site=1,Q1,226
ITL - International Journal of Applied Linguistics (Belgium),https://benjamins.com/catalog/itl,Q1,12
International Journal of Bilingualism,http://ijb.sagepub.com/,Q1,117
ELT Journal,https://academic.oup.com/eltj,Q1,135
International Multilingual Research Journal,https://www.tandfonline.com/loi/hmrj20,Q1,60
Public Culture,https://read.dukeupress.edu/public-culture,Q1,83
Discourse Studies,http://dis.sagepub.com/,Q1,98
Journal of the Royal Anthropological Institute,http://www.wiley.com/bw/journal.asp?ref=1359-0987,Q1,179
Psychology of Religion and Spirituality,https://www.apa.org/pubs/journals/rel/,Q1,191
Journal for the Scientific Study of Religion,http://www.wiley.com/bw/journal.asp?ref=0021-8294,Q1,162
Population Studies,https://www.scimagojr.com/journalsearch.php?q=27392&tip=sid&clean=0,Q1,78
Aphasiology,http://www.informaworld.com/smpp/title~content=t713393920~db=all,Q1,226
Journal of Neurolinguistics,https://www.journals.elsevier.com/journal-of-neurolinguistics,Q1,127
Cultural Studies - Critical Methodologies,http://csc.sagepub.com/,Q1,171
Journal of Fluency Disorders,http://www.elsevier.com/wps/find/journaldescription.cws_home/505771/description#description,Q1,83
International Journal of Bilingual Education and Bilingualism,http://www.informaworld.com/smpp/title~content=t794297780~db=all,Q1,297
Journal of School Health,http://www.wiley.com/bw/journal.asp?ref=0022-4391,Q1,323
Feminism and Psychology,http://fap.sagepub.com/,Q1,86
Synthese,http://www.springer.com/philosophy/philosophy+of+sciences/journal/11229,Q1,1033
Social Indicators Research,http://www.springer.com/sociology/sociology/journal/11205,Q1,986
"Interpreter and Translator Trainer, The",https://www.scimagojr.com/journalsearch.php?q=12100156346&tip=sid&clean=0,Q1,71
Critical Inquiry in Language Studies,https://www.scimagojr.com/journalsearch.php?q=12100156088&tip=sid&clean=0,Q1,43
Language,http://muse.jhu.edu/journals/language/,Q1,142
"Journal of Speech, Language, and Hearing Research",https://pubs.asha.org/journal/jslhr,Q1,655
Cliometrica,http://www.springer.com/economics/economic+theory/journal/11698,Q1,46
Human Resource Development Quarterly,https://onlinelibrary.wiley.com/journal/15321096,Q1,64
Proceedings of the Aristotelean Society,http://www.wiley.com/bw/journal.asp?ref=0066-7374,Q1,45
Linguistic Approaches to Bilingualism,https://benjamins.com/catalog/lab,Q1,142
Clinical Neuropsychologist,http://www.informaworld.com/smpp/title~content=t713721659~db=all,Q1,267
Journal of Applied Behavior Analysis,https://www.scimagojr.com/journalsearch.php?q=15382&tip=sid&clean=0,Q1,224
International Journal of Inclusive Education,https://www.tandfonline.com/toc/tied20/current,Q1,309
Medical Anthropology Quarterly,http://www.wiley.com/bw/journal.asp?ref=0745-5194,Q1,101
Antiquity,https://www.scimagojr.com/journalsearch.php?q=98073&tip=sid&clean=0,Q1,438
Economy and Society,http://www.informaworld.com/smpp/title~content=t713685159~db=all,Q1,73
International Feminist Journal of Politics,https://www.tandfonline.com/toc/rfjp20/current,Q1,131
Journal of Medical Ethics,https://jme.bmj.com/,Q1,629
Journal of Intellectual Disability Research,http://www.wiley.com/bw/journal.asp?ref=0964-2633,Q1,294
Economics and Philosophy,http://journals.cambridge.org/action/displayJournal?jid=EAP,Q1,59
Ethnicities,https://journals.sagepub.com/home/etn,Q1,117
Ethnoarchaeology,https://www.tandfonline.com/toc/yeth20/current,Q1,31
Geoarchaeology - An International Journal,http://www3.interscience.wiley.com/journal/36011/home,Q1,123
Evaluation Review,http://erx.sagepub.com/,Q1,63
Human Nature,http://www.springer.com/sociology/journal/12110,Q1,84
Discourse and Society,https://journals.sagepub.com/home/das,Q1,91
Applied Cognitive Psychology,http://www3.interscience.wiley.com/journal/4438/home,Q1,277
Phonology,https://www.cambridge.org/core/journals/phonology,Q1,65
International Journal of Language and Communication Disorders,http://informahealthcare.com/loi/lcd,Q1,211
"Language, Speech, and Hearing Services in Schools",https://pubs.asha.org/journal/lshss,Q1,135
Journal of Research in Music Education,https://journals.sagepub.com/home/jrm,Q1,88
Journal of Southeast European and Black Sea,http://www.informaworld.com/smpp/title~content=t713634533~tab=sample~db=all,Q1,97
Asian Englishes,https://www.tandfonline.com/loi/reng20,Q1,60
Erkenntnis,http://www.springer.com/philosophy/journal/10670,Q1,268
Scandinavian Journal of Psychology,http://www.wiley.com/bw/journal.asp?ref=0036-5564,Q1,221
Men and Masculinities,https://journals.sagepub.com/home/jmm,Q1,103
Journal of Archaeological Science: Reports,https://www.journals.elsevier.com/journal-of-archaeological-science-reports,Q1,1401
Capital and Class,https://www.scimagojr.com/journalsearch.php?q=5600152909&tip=sid&clean=0,Q1,75
Language Variation and Change,http://journals.cambridge.org/action/displayJournal?jid=LVC,Q1,45
Minds and Machines,https://www.springer.com/journal/11023,Q1,95
Anthropological Theory,http://ant.sagepub.com/,Q1,81
Journal of Biomedical Discovery and Collaboration,http://www.uic.edu/htbin/cgiwrap/bin/ojs/index.php/jbdc/,Q1,1
Journal of Logic and Computation,http://logcom.oxfordjournals.org/,Q1,207
Experimental Psychology,https://us.hogrefe.com/products/journals/experimental-psychology,Q1,112
Archaeological and Anthropological Sciences,https://www.springer.com/journal/12520,Q1,327
Neuropsychological Rehabilitation,http://www.informaworld.com/smpp/title~content=t713684225~db=all,Q1,214
Psychosomatics,http://psy.psychiatryonline.org/,Q1,270
Theory and Decision,http://www.springer.com/economics/economic+theory/journal/11238,Q1,182
Journal of Gender Studies,http://www.informaworld.com/smpp/title~content=t713431253~db=all,Q1,186
Critical Historical Studies,https://www.scimagojr.com/journalsearch.php?q=21100872376&tip=sid&clean=0,Q1,31
Linguistics and Education,http://www.elsevier.com/wps/find/journaldescription.cws_home/620373/description#description,Q1,113
Journal of Ethics,http://www.springer.com/sociology/applied+ethics/journal/10892,Q1,62
International Journal of Applied Linguistics,https://onlinelibrary.wiley.com/journal/14734192,Q1,87
Television and New Media,http://tvn.sagepub.com/,Q1,153
American Journal on Intellectual and Developmental Disabilities,http://aamr.allenpress.com/aamronline/?request=index-html,Q1,123
Communication Education,https://www.tandfonline.com/toc/rced20/current,Q1,174
RELC Journal,http://rel.sagepub.com/,Q1,84
Environmental Values,http://www.whpress.co.uk/EV.html,Q1,105
International Journal of Architectural Heritage,https://www.tandfonline.com/toc/uarc20/current,Q1,242
Journal of Pragmatics,https://www.journals.elsevier.com/journal-of-pragmatics,Q1,398
"Journal of Language, Identity, and Education",https://www.tandfonline.com/loi/hlie20,Q1,82
Games and Culture,http://gac.sagepub.com/,Q1,121
Journal of Music Therapy,https://academic.oup.com/jmt,Q1,53
African Archaeological Review,http://www.springer.com/archaeology/journal/10437,Q1,82
"Life Sciences, Society and Policy",https://lsspjournal.biomedcentral.com/,Q1,55
Bilingual Research Journal,https://www.tandfonline.com/loi/ubrj20,Q1,102
Music Perception,http://www.ucpressjournals.com/journal.asp?j=mp,Q1,114
International Journal of Leadership in Education,https://www.tandfonline.com/loi/tedl20,Q1,143
Modern China,http://mcx.sagepub.com/,Q1,54
Health Education and Behavior,http://heb.sagepub.com/,Q1,265
Review of Philosophy and Psychology,https://link.springer.com/journal/13164,Q1,137
Journal of Field Archaeology,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=yjfa20,Q1,137
Language and Cognition,https://www.scimagojr.com/journalsearch.php?q=19700170244&tip=sid&clean=0,Q1,50
Zeitschrift fur Psychologie / Journal of Psychology,https://www.scimagojr.com/journalsearch.php?q=15300154836&tip=sid&clean=0,Q1,106
School Leadership and Management,https://www.tandfonline.com/toc/cslm20/current,Q1,91
Social Analysis,https://www.berghahnjournals.com/view/journals/social-analysis/social-analysis-overview.xml,Q1,86
IRAL - International Review of Applied Linguistics in Language Teaching,http://www.degruyter.de/journals/iral/detailEn.cfm,Q1,78
Inquiry (United Kingdom),https://www.scimagojr.com/journalsearch.php?q=19600163000&tip=sid&clean=0,Q1,160
Cultural Studies,http://www.informaworld.com/smpp/title~content=t713684873~db=all,Q1,138
Archaeometry,https://onlinelibrary.wiley.com/journal/14754754,Q1,239
British Politics,http://www.palgrave-journals.com/bp/index.html,Q1,90
Ageing and Society,https://www.cambridge.org/core/journals/ageing-and-society,Q1,308
Cognitive Linguistics,https://www.degruyter.com/view/j/cogl?lang=en,Q1,73
Social Anthropology,http://www.wiley.com/bw/journal.asp?ref=0964-0282,Q1,118
Visual Cognition,http://www.informaworld.com/smpp/title~content=t713683696~db=all,Q1,165
Laboratory Phonology,https://www.scimagojr.com/journalsearch.php?q=19700200915&tip=sid&clean=0,Q1,24
Bioethics,http://www.wiley.com/bw/journal.asp?ref=0269-9702,Q1,275
Historical Methods,http://www.heldref.org/pubs/hm/about.html,Q1,48
Ethnicity and Health,https://www.tandfonline.com/action/journalInformation?journalCode=ceth20,Q1,232
American Philosophical Quarterly,http://www.press.uillinois.edu/journals/apq.html,Q1,95
European Journal of Cultural Studies,http://ecs.sagepub.com/,Q1,148
Business History Review,https://www.cambridge.org/core/journals/business-history-review,Q1,72
Signs,http://www.journals.uchicago.edu/toc/signs/current,Q1,163
Applied Ontology,https://www.scimagojr.com/journalsearch.php?q=19900193674&tip=sid&clean=0,Q1,43
Language and Speech,http://las.sagepub.com/,Q1,84
European Journal of Women's Studies,http://ejw.sagepub.com/,Q1,93
Design Science,https://www.scimagojr.com/journalsearch.php?q=21100889860&tip=sid&clean=0,Q1,58
Journal of Linguistics,http://journals.cambridge.org/action/displayJournal?jid=LIN,Q1,67
"Language, Culture and Curriculum",https://www.tandfonline.com/loi/rlcc20,Q1,57
Reading Teacher,https://ila.onlinelibrary.wiley.com/journal/19362714,Q1,294
AJOB Empirical Bioethics,https://www.scimagojr.com/journalsearch.php?q=21100324708&tip=sid&clean=0,Q1,90
Journal of Cultural Heritage,http://www.elsevier.com/wps/find/journaldescription.cws_home/620738/description#description,Q1,462
Journal of Intellectual and Developmental Disability,https://www.tandfonline.com/loi/cjid20,Q1,128
Azania,https://www.scimagojr.com/journalsearch.php?q=19900191701&tip=sid&clean=0,Q1,66
Humanities and Social Sciences Reviews,https://www.scimagojr.com/journalsearch.php?q=21100886224&tip=sid&clean=0,Q1,36
Cultural Trends,https://www.scimagojr.com/journalsearch.php?q=5700167676&tip=sid&clean=0,Q1,116
Theoria (Stockholm),http://www.wiley.com/bw/journal.asp?ref=0040-5825,Q1,69
Journal of Applied Philosophy,https://onlinelibrary.wiley.com/journal/14685930,Q1,144
Journal of Linguistic Anthropology,http://www.wiley.com/bw/journal.asp?ref=1055-1360,Q1,54
Journal of the Acoustical Society of America,https://www.scimagojr.com/journalsearch.php?q=12936&tip=sid&clean=0,Q1,2478
International Journal of Corpus Linguistics,https://benjamins.com/catalog/ijcl,Q1,55
International Journal of Osteoarchaeology,http://www3.interscience.wiley.com/journal/5488/home,Q1,270
International Journal of Paleopathology,https://www.scimagojr.com/journalsearch.php?q=19900193970&tip=sid&clean=0,Q1,170
Journal of Applied Communication Research,http://www.informaworld.com/smpp/title~content=t713703316~db=all,Q1,102
Studia Logica,http://www.springer.com/philosophy/logic/journal/11225,Q1,145
International Journal for the Study of Skepticism,https://brill.com/view/journals/skep/skep-overview.xml,Q1,53
Applied Linguistics Review,https://www.scimagojr.com/journalsearch.php?q=19700200985&tip=sid&clean=0,Q1,96
International Journal of Psychology,https://onlinelibrary.wiley.com/journal/1464066x,Q1,212
Science as Culture,https://www.tandfonline.com/loi/csac20,Q1,79
Across Languages and Cultures,http://www.akademiai.com/content/119691/?p=0eb2977b7f0a443b863aac798e2f4b5a&pi=0,Q1,40
Journal of African Archaeology,http://www.african-archaeology.de/,Q1,37
Journal of Specialised Translation,https://www.scimagojr.com/journalsearch.php?q=21100860440&tip=sid&clean=0,Q1,93
Biology and Philosophy,http://www.springer.com/philosophy/philosophy+of+sciences/journal/10539,Q1,153
Multilingua,https://www.degruyter.com/view/j/mult?lang=en,Q1,80
Journal of English Linguistics,https://journals.sagepub.com/home/eng,Q1,44
Journal of Political Philosophy,https://onlinelibrary.wiley.com/journal/14679760,Q1,79
Target,http://www.benjamins.com/cgi-bin/t_seriesview.cgi?series=Target,Q1,58
Journal of Spanish Language Teaching,https://www.tandfonline.com/loi/rslt20,Q1,37
Journal of Self-Governance and Management Economics,https://www.scimagojr.com/journalsearch.php?q=21100887701&tip=sid&clean=0,Q1,19
Settler Colonial Studies,https://www.tandfonline.com/loi/rset20,Q1,90
Philosophical Explorations,https://www.scimagojr.com/journalsearch.php?q=6500153159&tip=sid&clean=0,Q1,88
Child Language Teaching and Therapy,http://clt.sagepub.com/,Q1,65
Economic History Review,http://www.wiley.com/bw/journal.asp?ref=0013-0117,Q1,146
